A-5558496,2,0.46,San Antonio,TX,78222
A-5019469,2,0.09,Bradenville,PA,15620
A-2300626,3,0,Irvine,CA,92618
A-5075976,4,0.278,Jackson,MS,39213
A-7318230,2,0,San Leandro,CA,94577
A-4407109,2,0.109,Houston,TX,77034-1407
A-1869197,3,0,Ontario,CA,91761
A-5204830,4,0.555,Eugene,OR,97402
A-66329,3,0.01,Whittier,CA,90601
A-2226595,2,0,Lawtey,FL,32058-4916
A-3737431,2,0.009,Georgetown,CA,95634-9378
A-5143250,2,0.262,Christiansburg,VA,24073
A-7326621,3,0.442,Martinez,CA,94553
A-2588503,3,0,Hollywood,FL,33020
A-4503749,2,8.597999999999999,Duluth,GA,30096
A-7590959,2,0.195,Vail,CO,81657
A-2501092,3,7.4099998474121085,Fortson,GA,31808
A-4112123,2,0.725,Hayward,CA,94545
A-3223864,2,0,Arlington,TX,76001-5631
A-453569,2,0.02,Seattle,WA,98103
A-1037115,2,0,Charlotte,NC,28277
A-6240241,2,0.31,Mount Pleasant,PA,15666-3513
A-6825489,2,2.8,Elm Creek,NE,68836
A-4454402,2,0.15,Spartanburg,SC,29303
A-2582673,2,0,Montgomery,AL,36117
A-7295479,2,0,Downey,CA,90242
A-6140116,2,0.018,San Francisco,CA,94103-4311
A-1140712,3,0,Swansea,SC,29160
A-1640654,2,0,Diamond Bar,CA,91765
A-2892433,2,0,Gainesville,VA,20155-1884
A-3032920,2,0,Charlotte,NC,28213
A-7156462,2,0.038,Oakland,CA,94601
A-6866943,2,0.02,Charlotte,NC,28217-8010
A-5923088,2,0.166,El Dorado,CA,95623-4312
A-3295870,2,0,Oklahoma City,OK,73159
A-1302304,2,0,Fort Myers,FL,33913
A-2143373,3,0,Kansas City,KS,66112
A-6984763,2,0,Meridian,ID,83642
A-229794,2,0.01,Fairfax,VA,22033
A-3179802,2,0,Mountain View,CA,94043
A-6589252,2,6.324,Tualatin,OR,97062
A-3697337,2,0.033,Patterson,NY,12563
A-1449801,2,0,Nashville,TN,37203-3533
A-5949181,2,0.072,Norristown,PA,19401
A-193489,3,0,Royal Oak,MI,48067
A-6002744,2,0.239,Grand Rapids,MI,49546-4924
A-6980458,2,0,Long Beach,CA,90807
A-5687511,2,0.288,Miami,FL,33183
A-5399758,2,0.107,Malverne,NY,11518-2004
A-6274522,2,0.574,Clear Brook,VA,22624-1552
A-7495138,3,1.257,Chino Hills,CA,91709
A-4938616,2,0.353,Los Angeles,CA,90064
A-4564757,2,2.375,Kansas City,MO,64133
A-1568209,2,0,Gig Harbor,WA,98332-8624
A-4932532,2,0.117,Miami,FL,33165-3640
A-6223068,2,0.013,Nashville,TN,37201
A-1541201,2,0,Bedford,TX,76021-3024
A-5925013,2,0.119,Apopka,FL,32712-5411
A-391487,2,0.01,Houston,TX,77077
A-6868492,2,2.282,Wyoming,MN,55092
A-1135421,2,1.649999976158142,Milwaukee,WI,53207
A-2970898,2,0,Altadena,CA,91001-3843
A-1848327,3,0,South Saint Paul,MN,55075
A-6302329,2,1.328,Randsburg,CA,93554
A-189748,2,0,Grand Rapids,MI,49506
A-7486690,2,0.584,Drain,OR,97435
A-2888552,2,0,Dallas,TX,75230
A-5249391,2,0.424,Charlotte,NC,28213
A-3350450,3,0,Sacramento,CA,95831
A-3116900,3,0,Pearl River,LA,70452
A-6040490,2,0.294,Miami,FL,33183
A-1589763,2,0,Colorado Springs,CO,80918
A-3354659,3,0,Saint Paul,MN,55125
A-6687694,2,0.435,Landenberg,PA,19350-1575
A-2101805,2,0,Englewood,CO,80110-1824
A-6216329,2,0.251,Raleigh,NC,27609-5722
A-2096035,3,0,Seattle,WA,98125
A-3889834,2,0.249,Marlton,NJ,08053
A-7012277,4,0,Bronx,NY,10457
A-1679057,3,0,Los Angeles,CA,90040
A-445413,2,0.01,Roseville,MI,48066
A-6105104,4,0.227,Washington,DC,20002
A-7214226,2,0.506,Reno,NV,89512
A-3497687,2,0.001,Charlotte,NC,28205-4671
A-1562324,2,0,Greenville,SC,29607-5104
A-7542172,2,0,Portland,OR,97229
A-968852,3,6.599999904632568,Daytona Beach,FL,32114
A-6701516,2,0.312,Sarasota,FL,34239-7201
A-550384,3,0,North Ridgeville,OH,44039
A-4608329,2,6.974,Jasper,FL,32052
A-7744164,2,0.229,Torrance,CA,90504
A-5321928,2,0.388,Flushing,NY,11367
A-78034,2,0,Commerce,CA,90022-4123
A-2251219,3,0,Carson,CA,90745
A-903209,2,0,Dayton,OH,45406
A-7693062,3,0.7709999999999999,Dallas,TX,75261
A-1442050,3,0,Los Angeles,CA,90039
A-6086487,2,0.108,Hollywood,FL,33025
A-4771844,2,0.267,Irvine,CA,92614
A-5376593,4,0.124,Mentone,TX,79754
A-7523708,2,0.102,Columbus,OH,43215
A-5884140,2,0.029,Pasadena,CA,91106-1027
A-2095527,2,0,Oklahoma City,OK,73118-4414
A-7642235,2,0.638,Flagstaff,AZ,86004
A-7394864,2,2.939,Woodburn,OR,97071
A-6426128,2,0.071,Fort Myers,FL,33912-1814
A-2829916,2,0,Raleigh,NC,27615-2467
A-3285761,2,0,Dayton,OH,45415-3643
A-3486192,2,0,Glen Ellyn,IL,60137-4502
A-748204,2,0,Pleasant Valley,NY,12569
A-3254497,2,0,Huntingdon Valley,PA,19006
A-1825747,2,0,Hanford,CA,93230
A-196061,2,0.01,Kenilworth,NJ,07033
A-5215974,2,0.015,Benicia,CA,94510
A-758921,3,0,Kansas City,MO,64161
A-1335189,3,0,Mesquite,TX,75150
A-3694619,2,0.255,Seiad Valley,CA,96086-8811
A-6439273,2,0.049,Los Angeles,CA,90022-3609
A-5571023,2,1.372,Mineral Wells,WV,26150
A-5426883,2,0.038,Santa Cruz,CA,95060
A-73043,2,0.01,Stevenson Ranch,CA,91381
A-3826566,2,0.052,West Valley City,UT,84119
A-929821,3,0,Du Bois,PA,15801
A-73881,3,0.01,Los Angeles,CA,90015
A-3618355,2,0.014,Milwaukee,WI,53221
A-1577808,2,0,Seattle,WA,98102-5208
A-5029264,2,0.688,South Amboy,NJ,08879
A-5696299,2,0.005,Tulsa,OK,74114
A-6415347,2,0.515,Nashville,TN,37221-3702
A-5813666,2,0.373,San Diego,CA,92131
A-2979020,3,0,Saint Paul,MN,55120
