ID,Severity,Distance(mi),City,State,Zipcode
A-3170467,2,0,Seattle,WA,98108
A-2047758,2,0,Zachary,LA,70791-4610
A-4694324,2,0.056,Sterling,VA,20164-2813
A-5006183,2,0.022,Lompoc,CA,93436
A-4237356,2,1.054,Austin,MN,55912
A-6690583,2,0.046,Bakersfield,CA,93305-2649
A-1101469,2,0,Peabody,MA,01960-4275
A-7222249,2,0,Gold Hill,OR,97525
A-6198239,2,0.047,Panama City,FL,32405-3534
A-4222549,2,0.038,Dallas,TX,75225
A-5924038,2,1.301,Indianapolis,IN,46237
A-925338,2,2.4800000190734863,Indianapolis,IN,46290
A-4908440,2,2.091,Saint Regis,MT,59866
A-1388988,2,0,Huntsville,AL,35805-3542
A-4535214,2,2.845,San Diego,CA,92108
A-2127689,2,0,Tempe,AZ,85281
A-6609749,2,0.294,Miami,FL,33178
A-6214306,2,0.765,Woodford,VA,22580
A-2881976,2,0,Houston,TX,77002-6904
A-2635201,2,0,Rhinebeck,NY,12572-1427
A-5659848,2,0.01,Miami,FL,33142-6704
A-3086025,3,0,Raleigh,NC,27603
A-1506844,2,0,Arleta,CA,91331-4606
A-674983,2,0,Madison,AL,35756
A-674620,2,0,Columbia,SC,29210-8302
A-5296533,2,0.976,Altamonte Springs,FL,32714
A-5436922,2,0.342,Kansas City,KS,66109
A-7173962,2,0,Charlotte,NC,28211-1115
A-3983218,2,1.626,Carlsbad,CA,92011
A-2826531,2,0,Brighton,MI,48116
A-2876571,2,0,Baton Rouge,LA,70806
A-1722555,2,0,Denver,CO,80223
A-19908,2,0,North Highlands,CA,95660-5110
A-5225149,2,0.032,Baton Rouge,LA,70805
A-6549508,2,0.14,Vallejo,CA,94591
A-3578098,2,0.135,Marietta,GA,30062
A-7270277,2,0,Yoncalla,OR,97499
A-4674830,2,0.027,Rockville,MD,20852
A-6085916,2,0.314,Albert Lea,MN,56007
A-5445724,2,0.31,Baton Rouge,LA,70805-1807
A-1542566,3,0,Monterey Park,CA,91754
A-2017804,2,0,Augusta,GA,30904-4760
A-2672852,3,0,Kennesaw,GA,30144
A-5152274,2,0.778,Conway,SC,29526-9512
A-4152380,2,3.467,Santa Ana,CA,92706
A-3628923,3,0.599,La Grange,IL,60525
A-685944,2,0,Newport Beach,CA,92660
A-500188,2,0,Alpharetta,GA,30009-2133
A-142732,2,0,Tampa,FL,33607
A-3591248,2,0.382,Mountain View,CA,94040
A-7590183,3,0.295,Los Angeles,CA,90049
A-463320,3,0,Fallbrook,CA,92028
A-7296001,2,0,Minneapolis,MN,55430
A-1150566,2,0,Clover,SC,29710-7522
A-3767724,2,0.944,Alta,CA,95701
A-1650083,3,0,Albany,OR,97322
A-6769350,2,0.698,Orlando,FL,32825
A-7323211,2,0,Hayward,CA,94541
A-3059149,2,0,Rancho Cucamonga,CA,91739
A-6718616,2,0.028,York Springs,PA,17372-9515
A-5297308,2,5.101,Las Cruces,NM,88005
A-4394656,2,0.055,Anderson,SC,29625-5353
A-4514316,2,0.452,West Babylon,NY,11704
A-6264700,2,0.264,Reno,NV,89512
A-7745733,2,0.147,Santa Rosa,CA,95403
A-3078796,2,0,Omaha,NE,68107
A-5276480,2,1.327,San Diego,CA,92113
A-1656217,2,0,Hackensack,NJ,07601-4455
A-7737906,2,0.937,Greenville,SC,29615
A-3387204,2,0,Nashville,TN,37212-3705
A-4760306,2,0.278,Rochester,NY,14613-2345
A-6052755,2,0.39,Brentwood,TN,37027-4703
A-5788714,2,2.088,San Antonio,TX,78220
A-5259321,2,2.057,Napa,CA,94558
A-6899290,2,2.056,Williamsburg,VA,23188
A-4728316,2,0.074,Selma,CA,93662-9003
A-2551302,2,0,Arlington,TX,76010
A-1331014,2,0,Charlotte,NC,28211-1727
A-6477973,2,0.846,North Wilkesboro,NC,28659-9312
A-191738,2,0,Burton,MI,48529
A-3643301,3,0.123,Northbrook,IL,60062
A-5497081,2,0.789,Minneapolis,MN,55415
A-1076803,3,0,Los Angeles,CA,90016
A-4813104,2,0.183,Miami,FL,33165-7819
A-5391925,2,0.33,Los Angeles,CA,90033
A-3078852,2,0.8100000023841858,Minneapolis,MN,55443
A-3054044,2,0,Gilbertsville,PA,19525-9608
A-638409,3,0,Los Angeles,CA,90023
A-6153933,2,0.745,Springfield,VA,22150
A-2202769,3,0,San Jose,CA,95116
A-1047428,2,0,Heber City,UT,84032-2225
A-6756917,2,0.098,Death Valley,CA,92328
A-7674438,4,0.519,Bronx,NY,10464-1002
A-2972478,3,0,Providence,RI,02903
A-2909168,2,0,Houston,TX,77021-2630
A-2683722,3,0,Bronx,NY,10454
A-1985213,2,0,Elgin,IL,60124-4371
A-1354299,3,0,Maitland,FL,32751
A-2026919,2,0,Virginia Beach,VA,23464
A-4941229,2,0.606,San Bernardino,CA,92407
A-6454382,2,1.564,Madison,MS,39110
A-7046894,2,0,Bodega,CA,94922
A-4911031,2,1.432,Upland,CA,91784
A-2654092,3,0,Providence,RI,02903
A-3702727,2,0.063,Fort Worth,TX,76102
A-6556152,2,0.44,Albuquerque,NM,87109
A-6234500,2,0.021,Garden Grove,CA,92843
A-3015356,3,0,Flint,MI,48504
A-413363,2,0,Orlando,FL,32825-6724
A-3322909,2,0,Reedsville,PA,17084
A-7631278,2,0.355,Woodside,NY,11377
A-7756744,2,0.06,Lake Forest,IL,60045
A-5497306,2,1.003,Sacramento,CA,95819
A-764501,3,0,Knoxville,TN,37912
A-5227813,2,0.501,Shreveport,LA,71108-3921
A-5387079,2,2.9960000000000004,Cupertino,CA,95014
A-3633370,2,0.836,Miami,FL,33127
A-6929587,2,0.063,Bradenton,FL,34207-1434
A-3138178,2,0,Burlington,NC,27215-3865
A-2006019,2,0,El Paso,TX,79927-2507
A-1409420,2,0,Tampa,FL,33619
A-7479841,2,0.672,Joppa,MD,21085
A-6429874,2,2.419,Dyersville,IA,52040
A-1227241,3,0,Covington,LA,70433
A-3429205,2,0.008,Dallas,TX,75238
A-4456294,2,2.525,Belmont,NC,28012
A-6219462,2,0.179,Miami,FL,33167-3239
A-5992983,2,0.6779999999999999,Camp Hill,PA,17011
A-739563,2,0,Springville-Mapleton,UT,84660
A-847059,3,0,Norfolk,VA,23510
A-3586782,2,0.111,Woods Cross,UT,84087
A-3071033,2,0,Bothell,WA,98012
A-1446905,3,0,Hazelwood,MO,63042
A-457332,2,0,Fremont,CA,94536-6707
A-5810101,2,0.076,Bakersfield,CA,93305
A-5190295,2,0.435,Kansas City,MO,64128
A-7093751,1,0,Cincinnati,OH,45230-1004
A-7480004,2,0.4370000000000001,Decatur,GA,30035
A-3898659,2,1.818,Tampa,FL,33603
A-1506394,2,0,Baton Rouge,LA,70810
A-774153,2,0,Fremont,OH,43420
A-6221192,2,0.664,Sacramento,CA,95817
A-6918671,2,2.378,Austin,TX,78745
A-5017106,2,0.061,Polson,MT,59860
A-3166431,2,0,Oklahoma City,OK,73132-4750
A-555852,3,1.6399999856948853,Miami,FL,33150
A-1027865,2,0,Charlotte,NC,28216-5056
A-6833689,2,0.019,Charlotte,NC,28210-7479
A-6633058,2,0.27,Hialeah,FL,33015
A-1714315,2,0,Bishopville,SC,29010
A-7601071,3,1.731,Hammonton,NJ,08037
A-561746,3,0,Alberta,VA,23821
A-1749819,2,0,Cerritos,CA,90703
A-7490180,4,0.351,Glen Burnie,MD,21061
A-7016830,1,0,Suwanee,GA,30024
A-7397942,2,0,Bakersfield,CA,93304
A-5672196,2,0.089,Sacramento,CA,95828-5367
A-7292989,2,0,Tehachapi,CA,93561
A-7149238,2,0,Kissimmee,FL,34744
A-1613964,2,0,Tallahassee,FL,32311-3474
A-4813895,2,0.878,Trumbull,CT,06611
A-548880,2,0,Richmond,VA,23227
A-6570467,2,0.038,Saint Paul,MN,55125
A-1570142,3,0,Los Angeles,CA,90003
A-2685316,3,0,Seattle,WA,98155
A-4025332,2,2.007,Lakeville,MN,55044
A-1855153,4,3.25,Loveland,CO,80538
A-2107535,3,0,White Plains,NY,10603
A-5022043,2,0.091,Shreveport,LA,71101
A-5047844,2,3.104,Warroad,MN,56763-9139
A-7467890,2,0.3720000000000001,Providence,RI,02904
A-4860230,2,0.117,Clarksville,VA,23927-2934
A-29346,2,0,Sacramento,CA,95826
A-4362559,2,0.133,Houston,TX,77005-1511
A-1519069,2,1.919999957084656,Stoystown,PA,15563
A-1278516,3,0,Fort Worth,TX,76131
A-7253427,4,0.067,Miami,FL,33136
A-594965,2,0,Lombard,IL,60148-2134
A-944275,2,0,Quincy,MA,02169
A-4780356,2,1.079,Minneapolis,MN,55445
A-5487415,2,0.013,Austin,TX,78701-3705
A-6982012,1,0,Baton Rouge,LA,70810
A-2356254,2,0,Ellenville,NY,12428-8102
A-5616285,2,0.253,Virginia Beach,VA,23464
A-790030,2,0,Monterey,CA,93940-3872
A-4557646,2,1.153,Madison,CT,06443
A-6009145,2,0.8,Salem,OR,97304
A-6089144,2,1.506,Palm City,FL,34990
A-4304739,2,0.097,Miami,FL,33181
A-291023,2,0.01,Richardson,TX,75080
A-4657941,2,1.041,Alcolu,SC,29001
A-7410616,2,0,Colton,CA,92324
A-7391931,2,0,San Francisco,CA,94103
A-7475438,2,0.27,Kaysville,UT,84037
A-3345522,3,2.8299999237060547,Madison,TN,37115
A-2607002,2,0,Camino,CA,95709
A-2513343,2,0,Neptune,NJ,07753-4002
A-964526,2,0,Oklahoma City,OK,73103
A-3566804,4,4.192,Hockley,TX,77447
A-255908,2,0,Ardmore,PA,19003-2323
A-5620501,2,0.202,Raleigh,NC,27604-3919
A-4264026,2,0.901,Dallas,TX,75215
A-353464,2,0.01,Cerritos,CA,90703
A-432638,2,0.01,Austin,TX,78748-5801
A-7610669,2,0.264,Rego Park,NY,11374
A-7685242,2,0.348,Providence,RI,02909
A-1671691,2,0,Shreveport,LA,71118-2032
A-2409690,2,0,Dayton,OH,45405
A-3913345,2,0.8440000000000001,Reno,NV,89511
A-4827814,2,0.044,Flushing,NY,11355
A-2248661,3,0.7300000190734863,New York,NY,10033
A-835017,3,0,Riverside,MO,64150
A-3449149,4,0.028,Cornelia,GA,30531-2135
A-3524734,2,0.911,Walnut Creek,CA,94597
A-1600056,3,0,Tampa,FL,33609
A-2738497,2,0,Ogden,UT,84404
A-1810375,3,0,San Gabriel,CA,91776
A-6181800,2,0.215,Wichita Falls,TX,76306-4937
A-4334223,2,1.454,Corona,CA,92882
A-4034161,2,3.916,Chicago,IL,60605-1627
A-340240,3,0.01,San Jose,CA,95129
A-6092335,2,3.429,Ridgecrest,CA,93555
A-1305465,3,0,Elkton,MD,21921
A-379941,3,0.01,Baltimore,MD,21224
A-4744751,2,0.111,Signal Hill,CA,90755-1831
